         filenames tabloid non_tabloid is_tabloid           fit
517 4992650539.txt       0           1      FALSE -5.837173e-01
518 4993487650.txt       0           1      FALSE -3.800162e-01
519 4996066793.txt       0           2      FALSE -2.840038e-01
520 4999157242.txt       1           1      FALSE -2.865377e-01
521 5041392079.txt       0           2      FALSE -6.929550e-01
522 5047562024.txt       0           1      FALSE -6.628579e-01
523 5055014213.txt       0           1      FALSE -4.532932e-01
524 5065129551.txt       0           1      FALSE -4.247302e-01
525 5067523020.txt       0           1      FALSE -5.177319e-01
526 5069735552.txt       2           0       TRUE -1.770458e-15
527 5072535758.txt       1           1      FALSE -6.861719e-01
528 5079343587.txt       0           2      FALSE -5.554661e-01
529 5080717948.txt       1           1      FALSE -3.815981e-01
530 5084649210.txt       0           1      FALSE -5.173791e-01
531 5093128959.txt       1           0       TRUE -6.634583e-01
532 5093877995.txt       0           1      FALSE -6.313336e-01
533 5095433942.txt       0           3      FALSE -5.119487e-01
534 5098528826.txt       0           1      FALSE -6.483443e-01
535 5100157735.txt       2           1       TRUE -5.482842e-01
536 5108885462.txt       1           0       TRUE -5.193234e-01
537 5122385543.txt       0           1      FALSE -4.858925e-01
538 5131501137.txt       2           1       TRUE -4.603963e-01
539 5148374885.txt       0           2      FALSE -7.009552e-01
540 5151173850.txt       0           1      FALSE -6.547592e-01
541 5161200737.txt       0           1      FALSE -5.159880e-01
542 5166972107.txt       0           1      FALSE -1.870558e-01
543 5170483435.txt       0           2      FALSE -3.070447e-01
544 5200076055.txt       2           0       TRUE -3.316793e-01
545 5206681464.txt       0           1      FALSE -1.598744e-01
546 5207264860.txt       1           0       TRUE -4.522251e-01
547 5222434401.txt       1           2      FALSE -6.246060e-01
548 5229602409.txt       0           2      FALSE -6.411771e-01
549 5232484831.txt       0           1      FALSE -7.592176e-01
550 5238659809.txt       2           0       TRUE -4.879962e-01
551 5245602895.txt       0           2      FALSE -3.685642e-01
552 5248254290.txt       0           2      FALSE -5.859786e-01
553 5260435073.txt       0           2      FALSE -5.634650e-01
554 5269433503.txt       0           1      FALSE -6.279986e-01
555 5274160790.txt       4           3       TRUE -7.015277e-01
556 5275663665.txt       0           1      FALSE -4.678596e-01
557 5293014036.txt       0           1      FALSE -6.301457e-01
558 5293553579.txt       1           0       TRUE -6.612189e-01
559 5295780652.txt       0           2      FALSE -6.753331e-01
560 5306696917.txt       0           1      FALSE -6.771046e-01
561 5326538690.txt       2           1       TRUE -6.739037e-01
562 5335418980.txt       1           2      FALSE  5.488612e-16
563 5344104877.txt       0           3      FALSE -5.577695e-01
564 5360558825.txt       0           1      FALSE -5.417919e-01
565 5364179112.txt       1           1      FALSE -6.451412e-01
566 5369171860.txt       1           0       TRUE -7.064296e-01
567 5374754844.txt       2           0       TRUE -4.525387e-01
568 5375383625.txt       0           2      FALSE -5.318847e-01
569 5375796788.txt       0           1      FALSE -6.168602e-01
570 5377849824.txt       2           0       TRUE -4.966528e-01
571 5394367790.txt       0           1      FALSE -6.692684e-01
572 5398071768.txt       1           0       TRUE -5.406802e-01
573 5410315818.txt       0           3      FALSE -5.905228e-01
574 5418769580.txt       2           0       TRUE -5.093833e-01
575 5424009817.txt       2           1       TRUE -6.878711e-01
576 5433564321.txt       0           1      FALSE -5.488612e-16
577 5439760758.txt       0           1      FALSE -6.036486e-01
578 5448948173.txt       1           0       TRUE -6.311145e-01
579 5450964465.txt       1           2      FALSE -6.951946e-01
580 5452685613.txt       0           1      FALSE -4.318977e-01
581 5464413059.txt       0           1      FALSE -5.461664e-01
582 5469723117.txt       0           3      FALSE -7.222884e-01
583 5470728140.txt       0           1      FALSE -5.851579e-01
584 5502480617.txt       0           1      FALSE -4.696251e-01
585 5512352434.txt       3           0       TRUE -6.395919e-01
586 5518698261.txt       1           0       TRUE -1.116642e-15
587 5519530557.txt       0           1      FALSE -6.986312e-01
588 5528232100.txt       1           0       TRUE -6.783835e-01
589 5540842059.txt       1           1      FALSE -5.450432e-01
590 5541118748.txt       1           1      FALSE  2.422097e-16
591 5546331647.txt       1           1      FALSE -7.470463e-01
592 5552496743.txt       2           0       TRUE -5.357595e-01
593 5563210293.txt       1           0       TRUE -5.149374e-01
594 5594018922.txt       2           1       TRUE -6.335895e-01
595 5595278265.txt       0           1      FALSE -4.552820e-01
596 5606120245.txt       0           1      FALSE -6.441033e-01
597 5613455133.txt       0           3      FALSE -6.512879e-01
598 5631243159.txt       2           0       TRUE -6.228674e-01
599 5632278883.txt       1           0       TRUE -3.785126e-01
600 5632332135.txt       0           1      FALSE -6.464629e-01
601 5633780267.txt       0           1      FALSE -5.108168e-01
602 5633793395.txt       1           0       TRUE -5.870729e-01
603 5643776650.txt       1           1      FALSE -6.506594e-01
604 5645325455.txt       0           1      FALSE -7.913501e-01
605 5669954233.txt       0           2      FALSE -3.928000e-01
606 5673922535.txt       0           2      FALSE -7.253289e-01
607 5674113824.txt       0           2      FALSE -7.353026e-01
608 5686064956.txt       0           1      FALSE -5.965436e-01
609 5690529259.txt       0           2      FALSE -7.878261e-01
610 5693482340.txt       3           0       TRUE -5.782034e-01
611 5695680283.txt       0           1      FALSE -4.458918e-01
612 5700469468.txt       1           0       TRUE -5.647321e-01
613 5709362183.txt       1           1      FALSE -6.484426e-01
614 5712616241.txt       1           1      FALSE -6.245372e-01
615 5713535031.txt       0           1      FALSE -8.467820e-01
616 5717940823.txt       0           1      FALSE -6.225037e-01
617 5724766197.txt       1           2      FALSE -6.264182e-01
618 5736783827.txt       1           0       TRUE -5.584891e-01
619 5737603965.txt       0           1      FALSE -4.583285e-01
620 5740380256.txt       1           0       TRUE -3.637873e-01
621 5744096744.txt       1           0       TRUE -6.631111e-01
622 5746861863.txt       0           1      FALSE -4.932148e-01
623 5747555818.txt       0           2      FALSE -5.868686e-01
624 5763873655.txt       0           3      FALSE -6.366240e-01
625 5771616091.txt       1           0       TRUE -4.648962e-01
626 5777013666.txt       0           1      FALSE -5.056182e-01
627 5778393217.txt       1           3      FALSE -4.684199e-01
628 5779433363.txt       2           0       TRUE -4.291025e-01
629 5781618736.txt       2           1       TRUE -4.293490e-01
630 5786371305.txt       1           0       TRUE -3.659075e-16
631 5796530392.txt       1           3      FALSE -6.965004e-01
632 5797876616.txt       1           2      FALSE -5.943336e-01
633 5800342080.txt       0           1      FALSE -4.778139e-01
634 5807347149.txt       0           2      FALSE -7.211717e-01
635 5813587403.txt       1           0       TRUE -7.002347e-01
636 5827772232.txt       1           0       TRUE -6.143930e-01
637 5843894216.txt       0           1      FALSE -6.907958e-01
638 5854754582.txt       0           2      FALSE -4.243799e-01
639 5872820783.txt       0           1      FALSE -2.878291e-01
640 5874277418.txt       0           1      FALSE -5.252073e-01
641 5874346183.txt       0           1      FALSE -6.452243e-01
642 5876507126.txt       0           1      FALSE -4.574536e-01
643 5882748745.txt       0           1      FALSE -6.244434e-01
644 5884920751.txt       0           1      FALSE -3.555195e-01
645 5891941918.txt       0           1      FALSE -7.390700e-01
646 5893947232.txt       1           2      FALSE -5.172824e-01
647 5918925780.txt       0           2      FALSE -6.374908e-01
648 5931401968.txt       0           1      FALSE -6.735184e-01
649 5936592714.txt       0           2      FALSE -6.054444e-01
650 5942189850.txt       1           0       TRUE -6.876508e-01
651 5942577726.txt       0           1      FALSE -8.913046e-01
652 5949157188.txt       2           1       TRUE -4.597741e-01
653 5952090485.txt       0           1      FALSE -7.777915e-01
654 5954142835.txt       0           3      FALSE -1.325742e-01
655 5954906776.txt       1           1      FALSE -5.082532e-01
656 5960928335.txt       1           0       TRUE -4.645037e-01
657 5961315331.txt       1           0       TRUE -5.399428e-01
658 5963108275.txt       0           2      FALSE -6.360587e-01
659 5983282009.txt       1           0       TRUE -6.767040e-01
660 5999233478.txt       1           2      FALSE  3.659075e-16
661 6000885969.txt       3           0       TRUE -4.874926e-01
662 6003877825.txt       0           2      FALSE -5.311646e-01
663 6008415322.txt       1           0       TRUE -5.251227e-01
664 6017647567.txt       0           2      FALSE -3.334887e-01
665 6026750493.txt       0           2      FALSE -6.149283e-01
666 6033957390.txt       2           1       TRUE -4.806933e-01
667 6036975470.txt       1           0       TRUE -4.359368e-01
668 6037826462.txt       0           1      FALSE -3.487115e-01
669 6040256223.txt       0           2      FALSE -6.088993e-01
670 6049709141.txt       0           1      FALSE -7.432294e-01
671 6061420286.txt       5           0       TRUE -6.443256e-01
672 6062685606.txt       1           0       TRUE -5.509175e-01
673 6083493049.txt       0           1      FALSE -4.464985e-01
674 6095635547.txt       0           1      FALSE -5.309214e-01
675 6096522457.txt       0           1      FALSE -7.938254e-01
676 6098219508.txt       0           3      FALSE -6.038470e-01
677 6100337110.txt       0           2      FALSE -6.345687e-01
678 6107468716.txt       2           2      FALSE -5.199046e-01
679 6112855955.txt       1           0       TRUE -7.172777e-01
680 6118105667.txt       0           1      FALSE -3.704811e-01
681 6132173844.txt       1           1      FALSE -6.403636e-01
682 6134445870.txt       1           0       TRUE -5.944283e-01
683 6136600014.txt       1           3      FALSE -6.498349e-01
